Id,name,名称,sub_tech,tactic,url
T1546.015,Event Triggered Execution: Component Object Model Hijacking,事件触发执行：组件对象模型劫持,T1546,"Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.015/
T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,签名二进制代理执行：Regsvcs/Regasm,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.009/
T1104,Multi-Stage Channels,多级通道,,Command And Control,https://attack.mitre.org/techniques/TT1104/
T1218.004,Signed Binary Proxy Execution: InstallUtil,签名的二进制代理执行：InstallUtil,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.004/
T1218.010,Signed Binary Proxy Execution: Regsvr32,签名二进制代理执行：Regsvr32,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.010/
T1106,Native API,本机API,,Execution,https://attack.mitre.org/techniques/TT1106/
T1553.002,Subvert Trust Controls: Code Signing,Subversit信任控件：代码签名,T1553,Defense Evasion,https://attack.mitre.org/techniques/TT1553.002/
T1102,Web Service,Web服务,"T1102.001,T1102.002,T1102.003",Command And Control,https://attack.mitre.org/techniques/TT1102/
T1105,Ingress Tool Transfer,入口刀具转移,,Command And Control,https://attack.mitre.org/techniques/TT1105/
T1542.002,Pre-OS Boot: Component Firmware,操作系统启动前：组件固件,T1542,"Persistence,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1542.002/
T1098,Account Manipulation,账户操纵,"T1098.001,T1098.002,T1098.003,T1098.004",Persistence,https://attack.mitre.org/techniques/TT1098/
T1095,Non-Application Layer Protocol,非应用层协议,,Command And Control,https://attack.mitre.org/techniques/TT1095/
T1092,Communication Through Removable Media,通过可移动媒体进行通信,,Command And Control,https://attack.mitre.org/techniques/TT1092/
T1091,Replication Through Removable Media,通过可移动介质复制,,"Lateral Movement,                                                    Initial Access",https://attack.mitre.org/techniques/TT1091/
T1090,Proxy,代理,"T1090.001,T1090.002,T1090.003,T1090.004",Command And Control,https://attack.mitre.org/techniques/TT1090/
T1070.004,Indicator Removal on Host: File Deletion,主机上的指示器删除：文件删除,T1070,Defense Evasion,https://attack.mitre.org/techniques/TT1070.004/
T1546.010,Event Triggered Execution: AppInit DLLs,事件触发的执行：AppInit DLL,T1546,"Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.010/
T1547.005,Boot or Logon Autostart Execution: Security Support Provider,启动或登录Autostart执行：安全支持提供程序,T1547,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.005/
T1087,Account Discovery,帐户发现,"T1087.001,T1087.002,T1087.003,T1087.004",Discovery,https://attack.mitre.org/techniques/TT1087/
T1564.004,Hide Artifacts: NTFS File Attributes,隐藏项目：NTFS文件属性,T1564,Defense Evasion,https://attack.mitre.org/techniques/TT1564.004/
T1070.006,Indicator Removal on Host: Timestomp,删除主机上的指示器：Timestomp,T1070,Defense Evasion,https://attack.mitre.org/techniques/TT1070.006/
T1505.003,Server Software Component: Web Shell,服务器软件组件：Web Shell,T1505,Persistence,https://attack.mitre.org/techniques/TT1505.003/
T1550.003,Use Alternate Authentication Material: Pass the Ticket,使用替代认证材料：通过罚单,"T1550,CAPEC-645","Defense Evasion,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1550.003/
T1080,Taint Shared Content,污染共享内容,CAPEC-562,Lateral Movement,https://attack.mitre.org/techniques/TT1080/
T1055.012,Process Injection: Process Hollowing,工艺注射：工艺空心化,T1055,"Defense Evasion,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1055.012/
T1083,File and Directory Discovery,文件和目录发现,,Discovery,https://attack.mitre.org/techniques/TT1083/
T1082,System Information Discovery,系统信息发现,CAPEC-312,Discovery,https://attack.mitre.org/techniques/TT1082/
T1562.001,Impair Defenses: Disable or Modify Tools,削弱防御：禁用或修改工具,"T1562,CAPEC-578",Defense Evasion,https://attack.mitre.org/techniques/TT1562.001/
T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control,滥用提升控制机制：绕过用户访问控制,T1548,"Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1548.002/
T1059,Command and Scripting Interpreter,命令和脚本解释器,"T1059.001,T1059.002,T1059.003,T1059.004,T1059.005,T1059.006,T1059.007",Execution,https://attack.mitre.org/techniques/TT1059/
T1056,Input Capture,输入捕获,"T1056.001,T1056.002,T1056.003,T1056.004,CAPEC-569","Collection,                                                    Credential Access",https://attack.mitre.org/techniques/TT1056/
T1218.011,Signed Binary Proxy Execution: Rundll32,有符号二进制代理执行：Rundll32,T1218,Defense Evasion,https://attack.mitre.org/techniques/TT1218.011/
T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,事件触发的执行：Windows Management Instrumentation事件订阅,T1546,"Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.003/
T1059.001,Command and Scripting Interpreter: PowerShell,命令和脚本解释器：PowerShell,T1059,Execution,https://attack.mitre.org/techniques/TT1059.001/
T1055,Process Injection,工艺注入,"T1055.001,T1055.002,T1055.003,T1055.004,T1055.005,T1055.008,T1055.009,T1055.011,T1055.012,T1055.013,T1055.014,CAPEC-640","Defense Evasion,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1055/
T1052,Exfiltration Over Physical Medium,物理介质上的渗出,T1052.001,Exfiltration,https://attack.mitre.org/techniques/TT1052/
T1552.001,Unsecured Credentials: Credentials In Files,不安全凭据：文件中的凭据,"T1552,CAPEC-639",Credential Access,https://attack.mitre.org/techniques/TT1552.001/
T1048,Exfiltration Over Alternative Protocol,替代方案外滤,"T1048.001,T1048.002,T1048.003",Exfiltration,https://attack.mitre.org/techniques/TT1048/
T1057,Process Discovery,过程发现,CAPEC-573,Discovery,https://attack.mitre.org/techniques/TT1057/
T1053,Scheduled Task/Job,计划任务/作业,"T1053.001,T1053.002,T1053.003,T1053.004,T1053.005,CAPEC-557","Execution,                                                    Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1053/
T1049,System Network Connections Discovery,系统网络连接发现,,Discovery,https://attack.mitre.org/techniques/TT1049/
T1047,Windows Management Instrumentation,Windows管理规范,,Execution,https://attack.mitre.org/techniques/TT1047/
T1046,Network Service Scanning,网络服务扫描,CAPEC-300,Discovery,https://attack.mitre.org/techniques/TT1046/
T1041,Exfiltration Over C2 Channel,C2通道外滤,,Exfiltration,https://attack.mitre.org/techniques/TT1041/
T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,劫持执行流：服务注册表权限弱点,"T1574,CAPEC-CAPEC","Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1574.011/
T1040,Network Sniffing,网络嗅探,CAPEC-158,"Credential Access,                                                    Discovery",https://attack.mitre.org/techniques/TT1040/
T1036,Masquerading,伪装,"T1036.001,T1036.002,T1036.003,T1036.004,T1036.005,T1036.006,CAPEC-177",Defense Evasion,https://attack.mitre.org/techniques/TT1036/
T1039,Data from Network Shared Drive,来自网络共享驱动器的数据,CAPEC-639,Collection,https://attack.mitre.org/techniques/TT1039/
T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,,"T1547,CAPEC-270","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.001/
T1562.006,Impair Defenses: Indicator Blocking,削弱防御：指示器阻塞,"T1562,CAPEC-571",Defense Evasion,https://attack.mitre.org/techniques/TT1562.006/
T1037,Boot or Logon Initialization Scripts,,"T1037.001,T1037.002,T1037.003,T1037.004,T1037.005,CAPEC-564","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1037/
T1543.003,Create or Modify System Process: Windows Service,创建或修改系统进程：Windows服务,T1543,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1543.003/
T1033,System Owner/User Discovery,系统所有者/用户发现,CAPEC-577,Discovery,https://attack.mitre.org/techniques/TT1033/
T1027.002,Obfuscated Files or Information: Software Packing,,"T1027,CAPEC-570",Defense Evasion,https://attack.mitre.org/techniques/TT1027.002/
T1030,Data Transfer Size Limits,数据传输大小限制,,Exfiltration,https://attack.mitre.org/techniques/TT1030/
T1029,Scheduled Transfer,预定转移,,Exfiltration,https://attack.mitre.org/techniques/TT1029/
T1546.001,Event Triggered Execution: Change Default File Association,事件触发执行：更改默认文件关联,"T1546,CAPEC-556","Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.001/
T1574.001,Hijack Execution Flow: DLL Search Order Hijacking,劫持执行流程：DLL搜索顺序劫持,"T1574,CAPEC-471","Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1574.001/
T1574.010,Hijack Execution Flow: Services File Permissions Weakness,劫持执行流：服务文件权限弱点,"T1574,CAPEC-CAPEC","Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1574.010/
T1027,Obfuscated Files or Information,混淆的文件或信息,"T1027.001,T1027.002,T1027.003,T1027.004,T1027.005,CAPEC-267",Defense Evasion,https://attack.mitre.org/techniques/TT1027/
T1025,Data from Removable Media,来自可移动媒体的数据,,Collection,https://attack.mitre.org/techniques/TT1025/
T1569.002,System Services: Service Execution,系统服务：服务执行,T1569,Execution,https://attack.mitre.org/techniques/TT1569.002/
T1020,Automated Exfiltration,自动渗出,,Exfiltration,https://attack.mitre.org/techniques/TT1020/
T1021,Remote Services,远程服务,"T1021.001,T1021.002,T1021.003,T1021.004,T1021.005,T1021.006,CAPEC-555",Lateral Movement,https://attack.mitre.org/techniques/TT1021/
T1014,Rootkit,Rootkit,CAPEC-552,Defense Evasion,https://attack.mitre.org/techniques/TT1014/
T1018,Remote System Discovery,远程系统发现,CAPEC-292,Discovery,https://attack.mitre.org/techniques/TT1018/
T1016,System Network Configuration Discovery,系统网络配置发现,CAPEC-309,Discovery,https://attack.mitre.org/techniques/TT1016/
T1012,Query Registry,查询注册表,CAPEC-647,Discovery,https://attack.mitre.org/techniques/TT1012/
T1011,Exfiltration Over Other Network Medium,通过其他网络介质过滤,T1011.001,Exfiltration,https://attack.mitre.org/techniques/TT1011/
T1021.006,Remote Services: Windows Remote Management,远程服务： Windows远程管理,T1021,Lateral Movement,https://attack.mitre.org/techniques/TT1021.006/
T1010,Application Window Discovery,应用程序窗口发现,,Discovery,https://attack.mitre.org/techniques/TT1010/
T1008,Fallback Channels,回退通道,,Command And Control,https://attack.mitre.org/techniques/TT1008/
T1007,System Service Discovery,系统服务发现,CAPEC-574,Discovery,https://attack.mitre.org/techniques/TT1007/
T1006,Direct Volume Access,直接卷访问,,Defense Evasion,https://attack.mitre.org/techniques/TT1006/
T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,启动或登录自动启动执行：快捷方式修改,"T1547,CAPEC-132","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.009/
T1003,OS Credential Dumping,操作系统凭据转储,"T1003.001,T1003.002,T1003.003,T1003.004,T1003.005,T1003.006,T1003.007,T1003.008",Credential Access,https://attack.mitre.org/techniques/TT1003/
T1547.010,Boot or Logon Autostart Execution: Port Monitors,启动或登录自动启动执行：端口监视器,T1547,"Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.010/
T1542.001,Pre-OS Boot: System Firmware,预操作系统引导：系统固件,"T1542,CAPEC-532","Persistence,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1542.001/
T1027.001,Obfuscated Files or Information: Binary Padding,模糊处理的文件或信息：二进制填充,"T1027,CAPEC-572",Defense Evasion,https://attack.mitre.org/techniques/TT1027.001/
T1546.008,Event Triggered Execution: Accessibility Features,事件触发执行：辅助功能,"T1546,CAPEC-558","Privilege Escalation,                                                    Persistence",https://attack.mitre.org/techniques/TT1546.008/
T1005,Data from Local System,来自本地系统的数据,,Collection,https://attack.mitre.org/techniques/TT1005/
T1547.004,Boot or Logon Autostart Execution: Winlogon Helper DLL,启动或登录自动启动执行：Winlogon Helper DLL,"T1547,CAPEC-579","Persistence,                                                    Privilege Escalation",https://attack.mitre.org/techniques/TT1547.004/
